Model,MAE,MSE,RMSE,R2,MAPE
XGBoost,16465.069389287022,832704451.3700094,28856.618848541653,0.982114535363659,6.2024665688257565
Random Forest,16823.626808543107,891646143.8574315,29860.444468517737,0.9808485405021502,6.421326614893368
KNN,17834.551088247987,1001682697.0249983,31649.371194780448,0.9784850910488113,6.809797154334782
Decision Tree,20223.901866288976,1160767818.8194766,34070.04283559791,0.9750681388332421,8.594347894023315
Linear Regression,26466.408742408676,1931963354.3696315,43954.10509121567,0.9585038098494194,10.805094292398913
Ridge Regression,26651.153275325716,1968498166.8246508,44367.76044409556,0.9577190871364754,10.838791846943113
ANN,49516.433484289795,7206018301.444081,84888.26951613562,0.8452236141079117,15.527600786060116
